lbd;x;re;im
542;0.089717;-0.20924;-0.21433
543;0.098116;-0.22143;-0.22155
544;0.10709;-0.23418;-0.22858
545;0.11666;-0.24749;-0.23538
546;0.12684;-0.26137;-0.24193
547;0.13767;-0.27581;-0.24818
548;0.14915;-0.29082;-0.2541
549;0.1613;-0.30639;-0.25966
550;0.17415;-0.32252;-0.26482
551;0.18238;-0.33823;-0.26072
552;0.19078;-0.35384;-0.25608
553;0.19935;-0.36932;-0.2509
554;0.20808;-0.38466;-0.24519
555;0.21696;-0.39982;-0.23896
556;0.22599;-0.4148;-0.23223
557;0.23515;-0.42957;-0.225
558;0.24444;-0.4441;-0.21729
559;0.25385;-0.45839;-0.20911
560;0.26337;-0.47242;-0.20049
561;0.27299;-0.48616;-0.19142
562;0.2827;-0.4996;-0.18193
563;0.29249;-0.51273;-0.17204
564;0.30236;-0.52554;-0.16176
565;0.31229;-0.53801;-0.15111
566;0.32228;-0.55014;-0.1401
567;0.33232;-0.5619;-0.12876
568;0.34239;-0.5733;-0.1171
569;0.3525;-0.58433;-0.10514
570;0.36262;-0.59497;-0.092901
571;0.37276;-0.60523;-0.080395
572;0.38291;-0.61509;-0.067643
573;0.39306;-0.62455;-0.054663
574;0.40319;-0.63362;-0.041472
575;0.41331;-0.64228;-0.028088
576;0.42341;-0.65054;-0.014527
577;0.43348;-0.65839;-8.0827E-4
578;0.44351;-0.66584;0.013053
579;0.45351;-0.67289;0.027041
580;0.46345;-0.67953;0.041139
581;0.47334;-0.68577;0.055331
582;0.48317;-0.69161;0.069603
583;0.49293;-0.69706;0.083939
584;0.50263;-0.70211;0.098326
585;0.51225;-0.70678;0.11275
586;0.5218;-0.71107;0.1272
587;0.53126;-0.71498;0.14166
588;0.54064;-0.71852;0.15611
589;0.54993;-0.72169;0.17056
590;0.55913;-0.72451;0.18498
591;0.56823;-0.72697;0.19936
592;0.57724;-0.72909;0.2137
593;0.58615;-0.73087;0.22798
594;0.59495;-0.73232;0.2422
595;0.60365;-0.73344;0.25635
596;0.61224;-0.73425;0.27041
597;0.62073;-0.73475;0.28438
598;0.62911;-0.73495;0.29826
599;0.63738;-0.73485;0.31203
600;0.64553;-0.73448;0.3257
601;0.65104;-0.73289;0.33751
602;0.65648;-0.73113;0.3492
603;0.66185;-0.72918;0.36076
604;0.66714;-0.72706;0.3722
605;0.67237;-0.72477;0.38351
606;0.67752;-0.72231;0.39469
607;0.6826;-0.71971;0.40574
608;0.68761;-0.71695;0.41665
609;0.69255;-0.71404;0.42743
610;0.69743;-0.71099;0.43808
611;0.70224;-0.70781;0.4486
612;0.70698;-0.7045;0.45898
613;0.71166;-0.70106;0.46922
614;0.71627;-0.6975;0.47933
615;0.72082;-0.69383;0.48931
616;0.72531;-0.69004;0.49916
617;0.72973;-0.68614;0.50887
618;0.73409;-0.68213;0.51845
619;0.73838;-0.67802;0.52789
620;0.74261;-0.67381;0.5372
621;0.74676;-0.66951;0.54638
622;0.75086;-0.66511;0.55541
623;0.75488;-0.66062;0.56432
624;0.75883;-0.65606;0.57308
625;0.76272;-0.65141;0.58171
626;0.76655;-0.64669;0.5902
627;0.77031;-0.6419;0.59856
628;0.77401;-0.63705;0.60678
629;0.77765;-0.63213;0.61487
630;0.78124;-0.62716;0.62282
631;0.78478;-0.62214;0.63065
632;0.78828;-0.61708;0.63835
633;0.79173;-0.61197;0.64593
634;0.79514;-0.60682;0.65338
635;0.79852;-0.60163;0.66072
636;0.80186;-0.5964;0.66795
637;0.80517;-0.59114;0.67507
638;0.80844;-0.58583;0.68208
639;0.81167;-0.58049;0.68899
640;0.81486;-0.57511;0.69578
641;0.81801;-0.56969;0.70247
642;0.82111;-0.56423;0.70905
643;0.82416;-0.55873;0.71552
644;0.82715;-0.5532;0.72189
645;0.83009;-0.54764;0.72814
646;0.83297;-0.54204;0.73428
647;0.8358;-0.53641;0.74031
648;0.83857;-0.53076;0.74623
649;0.84128;-0.52509;0.75204
650;0.84393;-0.51939;0.75773
651;0.84562;-0.51343;0.7629
652;0.84727;-0.50746;0.76796
653;0.84888;-0.50149;0.77291
654;0.85045;-0.49553;0.77775
655;0.85197;-0.48958;0.78249
656;0.85346;-0.48363;0.78712
657;0.85491;-0.4777;0.79165
658;0.85633;-0.47179;0.79608
659;0.85772;-0.4659;0.80041
660;0.85909;-0.46003;0.80465
661;0.86045;-0.4542;0.8088
662;0.8618;-0.44839;0.81286
663;0.86316;-0.44262;0.81685
664;0.86452;-0.43688;0.82077
665;0.8659;-0.43117;0.82462
666;0.86731;-0.42549;0.82841
667;0.86873;-0.41983;0.83215
668;0.87017;-0.41419;0.83583
669;0.87162;-0.40856;0.83946
670;0.87308;-0.40294;0.84304
671;0.87454;-0.39732;0.84657
672;0.876;-0.39171;0.85003
673;0.87744;-0.3861;0.85344
674;0.87886;-0.38049;0.85679
675;0.88026;-0.37489;0.86007
676;0.88163;-0.36928;0.86329
677;0.88297;-0.36368;0.86643
678;0.88427;-0.35809;0.86951
679;0.88554;-0.3525;0.87251
680;0.88677;-0.34693;0.87545
681;0.88797;-0.34137;0.87832
682;0.88914;-0.33583;0.88111
683;0.89028;-0.33031;0.88384
684;0.8914;-0.3248;0.88651
685;0.89249;-0.31932;0.88911
686;0.89355;-0.31386;0.89165
687;0.8946;-0.30842;0.89413
688;0.89563;-0.30301;0.89656
689;0.89664;-0.29761;0.89893
690;0.89764;-0.29224;0.90124
691;0.89861;-0.28689;0.9035
692;0.89957;-0.28155;0.9057
693;0.9005;-0.27624;0.90785
694;0.90141;-0.27095;0.90995
695;0.9023;-0.26567;0.91199
696;0.90316;-0.26042;0.91397
697;0.90399;-0.25519;0.9159
698;0.90479;-0.24998;0.91777
699;0.90556;-0.24479;0.91959
700;0.9063;-0.23963;0.92135
701;0.90671;-0.23474;0.92283
702;0.90711;-0.22988;0.92426
703;0.90748;-0.22505;0.92565
704;0.90783;-0.22025;0.92699
705;0.90817;-0.21549;0.92829
706;0.90849;-0.21077;0.92955
707;0.90881;-0.20608;0.93077
708;0.90912;-0.20143;0.93196
709;0.90944;-0.19683;0.93311
710;0.90977;-0.19227;0.93424
711;0.91011;-0.18775;0.93534
712;0.91047;-0.18327;0.93642
713;0.91086;-0.17883;0.93749
714;0.91128;-0.17442;0.93854
715;0.91174;-0.17005;0.93959
716;0.91223;-0.1657;0.94062
717;0.91275;-0.16137;0.94165
718;0.91331;-0.15706;0.94268
719;0.9139;-0.15277;0.94369
720;0.91451;-0.14849;0.9447
721;0.91513;-0.14421;0.94569
722;0.91576;-0.13994;0.94667
723;0.9164;-0.13568;0.94762
724;0.91704;-0.13143;0.94856
725;0.91767;-0.12718;0.94947
726;0.91829;-0.12294;0.95036
727;0.9189;-0.11871;0.95121
728;0.9195;-0.11449;0.95205
729;0.92008;-0.11028;0.95285
730;0.92064;-0.10608;0.95362
731;0.92119;-0.1019;0.95436
732;0.92172;-0.097728;0.95508
733;0.92224;-0.093577;0.95576
734;0.92274;-0.089442;0.95642
